"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Health check - Negative: Auth service down","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldHandleAuthServiceDownInHealthCheck"
"","3","Delete device - Positive","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldDeleteDeviceWhenValidRequest"
"","5","Create buffer device binding - Negative: Device doesn't belong to client","","2025-09-20","passed","2025-09-20","","Buffer Device Service Implementation Tests - London Style","com.service.bufferdevice.BufferDeviceServiceImplLondonTest","shouldThrowExceptionWhenDeviceNotBelongsToClient"
"","3","Scheme exists - Negative: Scheme not found","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldReturnFalseWhenSchemeNotExists"
"","3","Add devices to buffer - Positive","","2025-09-20","passed","2025-09-20","","Buffer Device Service Implementation Tests - London Style","com.service.bufferdevice.BufferDeviceServiceImplLondonTest","shouldAddDevicesToBufferWhenValidRequest"
"","3","Get device - Positive","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldGetDeviceWhenValidRequest"
"","11","Get devices by client - Positive","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldGetDevicesByClientWhenValidRequest"
"","0","Decode 403 - Forbidden","","2025-09-20","passed","2025-09-20","","Feign Error Decoder Tests","com.connection.device.client.FeignErrorDecoderTest","shouldReturnForbiddenExceptionFor403"
"","0","Decode 500 - Internal Server Error","","2025-09-20","passed","2025-09-20","","Feign Error Decoder Tests","com.connection.device.client.FeignErrorDecoderTest","shouldReturnInternalServerErrorFor500"
"","3","Add buffers to device - Positive","","2025-09-20","passed","2025-09-20","","Buffer Device Service Implementation Tests - London Style","com.service.bufferdevice.BufferDeviceServiceImplLondonTest","shouldAddBuffersToDeviceWhenValidRequest"
"","450","Create buffer - Negative: Token validation fails","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldThrowExceptionWhenTokenValidationFails"
"","15","Get client UID - Negative: Invalid token","","2025-09-20","passed","2025-09-20","","Auth Service Implementation Tests - London Style","com.service.auth.AuthServiceImplLondonTest","shouldThrowExceptionWhenGettingClientUidFromInvalidToken"
"","36","Create scheme - Negative: Token validation fails","","2025-09-20","passed","2025-09-20","","Connection Scheme Service Implementation Tests","com.service.connectionscheme.ConnectionSchemeServiceImplLondonTest","shouldThrowExceptionWhenTokenValidationFails"
"","58","Health check - Positive","","2025-09-20","passed","2025-09-20","","Buffer Device Service Implementation Tests - London Style","com.service.bufferdevice.BufferDeviceServiceImplLondonTest","shouldReturnHealthStatus"
"","3","Device exists - Negative: Device not found","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldReturnFalseWhenDeviceNotExists"
"","2","Health check - Negative: Auth service down","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldHandleAuthServiceDownInHealthCheck"
"","5","Delete all buffer devices for device - Positive","","2025-09-20","passed","2025-09-20","","Buffer Device Service Implementation Tests - London Style","com.service.bufferdevice.BufferDeviceServiceImplLondonTest","shouldDeleteAllBufferDevicesForDevice"
"","28","Create device - Negative: Token validation fails","","2025-09-20","passed","2025-09-20","","Device Service Implementation Tests - London Style","com.connection.device.DeviceServiceImplLondonTest","shouldThrowExceptionWhenTokenValidationFails"
"","13","Get buffers by connection scheme - Positive","","2025-09-20","passed","2025-09-20","","Buffer Service Implementation Tests","com.service.buffer.BufferServiceImplLondonTest","shouldGetBuffersByConnectionSchemeWhenValidRequest"
