"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Validate BufferDTO with null UID - Negative","","2025-09-20","passed","2025-09-20","","Buffer Validator Tests","com.connection.processing.buffer.validator.BufferValidatorTest","testValidateBufferDTOWithNullUid_Negative"
"","1","ConnectionSchemeValidateException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeValidateExceptionToString"
"","2","Convert DALM to BLM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToBLMFromDALM_Positive"
"","1","Convert DALM to BLM - Positive","","2025-09-20","passed","2025-09-20","","BufferDevice Converter Tests","com.connection.processing.buffer.bufferdevice.converter.BufferDeviceConverterTest","testToBLMFromDALM_Positive"
"","370","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testToDALMFromBLM_Positive"
"","2","BaseDeviceException toString format","","2025-09-20","passed","2025-09-20","","Device Exception Tests","com.connection.device.exception.DeviceExceptionTest","testBaseDeviceExceptionToString"
"","1","Validate null AccessTokenBLM - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateNullAccessTokenBLM_Negative"
"","23","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Converter Tests","com.connection.token.converter.RefreshTokenConverterTest","testToDALMFromBLM_Positive"
"","1","Validate BufferJsonDataDTO with null UID - Negative","","2025-09-20","passed","2025-09-20","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDTOWithNullUid_Negative"
"","0","Round-trip conversion DTO -> BLM -> DTO","","2025-09-20","passed","2025-09-20","","Device Converter Tests","com.connection.device.converter.DeviceConverterTest","testRoundTripDTOToBLMToDTO"
"","1","Validate valid DeviceDALM - Positive","","2025-09-20","passed","2025-09-20","","Device Validator Tests","com.connection.device.validator.DeviceValidatorTest","testValidateDeviceDALM_Positive"
"","2","Convert DTO to BLM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.token.converter.AccessTokenConverterTest","testToBLMFromDTO_Positive"
"","1","Validate ConnectionSchemeBLM with null fields - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeBLMWithNullFields_Negative"
"","0","DeviceAlreadyExistsException toString format","","2025-09-20","passed","2025-09-20","","Device Exception Tests","com.connection.device.exception.DeviceExceptionTest","testDeviceAlreadyExistsExceptionToString"
"","1","Round-trip conversion DALM -> BLM -> DALM","","2025-09-20","passed","2025-09-20","","Connection Scheme Converter Tests","com.connection.scheme.converter.ConnectionSchemeConverterTest","testRoundTripDALMToBLMToDALM"
"","1","Validate ConnectionSchemeDTO with invalid UID - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Validator Tests","com.connection.scheme.validator.ConnectionSchemeValidatorTest","testValidateConnectionSchemeDTOWithInvalidUid_Negative"
"","1","Round-trip conversion DTO -> BLM -> DTO","","2025-09-20","passed","2025-09-20","","Buffer Converter Tests","com.connection.processing.buffer.converter.BufferConverterTest","testRoundTripDTOToBLMToDTO"
"","1","Validate null BufferDeviceDTO - Negative","","2025-09-20","passed","2025-09-20","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateNullBufferDeviceDTO_Negative"
"","1","Validate null BufferJsonDataBLM - Negative","","2025-09-20","passed","2025-09-20","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateNullBufferJsonDataBLM_Negative"
"","1","Validate BufferDeviceDTO with invalid device UID - Negative","","2025-09-20","passed","2025-09-20","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateBufferDeviceDTOWithInvalidDeviceUid_Negative"
"","6","Delete non-existent client by UID - Negative","","2025-09-20","passed","2025-09-20","","Client Repository Tests - SQL implementation tests","com.connection.client.repository.ClientRepositorySQLImplTest","testDeleteByUid_Negative"
"","2","Check device exists - Positive","","2025-09-20","passed","2025-09-20","","Device Repository Tests - SQL implementation tests","com.connection.device.repository.DeviceRepositorySQLImplTest","testExists_Positive"
"","2","Validate ClientDTO with invalid username - Negative","","2025-09-20","passed","2025-09-20","","Client Validator Tests","com.connection.client.validator.ClientValidatorTest","testValidateClientDTOWithInvalidUsername_Negative"
"","0","Validate valid AccessTokenBLM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLM_Positive"
"","1","RefreshTokenAlreadyExistsException toString format","","2025-09-20","passed","2025-09-20","","Token Exception Tests","com.connection.token.exception.TokenExceptionTest","testRefreshTokenAlreadyExistsExceptionToString"
"","2","Delete buffer-device relationship - Positive","","2025-09-20","passed","2025-09-20","","BufferDevice Repository Tests - SQL implementation tests","com.connection.processing.buffer.bufferdevice.repository.BufferDeviceRepositorySQLImplTest","testDeleteBufferDevice_Positive"
"","3","Exception inheritance hierarchy","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testExceptionInheritance"
"","2","Find newest data by buffer UID - Positive","","2025-09-20","passed","2025-09-20","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindNewestByBufferUid_Positive"
"","1","Check scheme exists - Positive","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testExists_Positive"
"","1","Convert BLM to DTO - Positive","","2025-09-20","passed","2025-09-20","","Device Converter Tests","com.connection.device.converter.DeviceConverterTest","testToDTOFromBLM_Positive"
"","1","BufferAlreadyExistsException toString format","","2025-09-20","passed","2025-09-20","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBufferAlreadyExistsExceptionToString"
"","1884","Convert BLM to DALM - Positive","","2025-09-20","passed","2025-09-20","","Access Token Converter Tests","com.connection.token.converter.AccessTokenConverterTest","testToDALMFromBLM_Positive"
"","1","Validate DeviceDTO with null UID - Negative","","2025-09-20","passed","2025-09-20","","Device Validator Tests","com.connection.device.validator.DeviceValidatorTest","testValidateDeviceDTOWithNullUid_Negative"
"","2","Check data exists - Positive","","2025-09-20","passed","2025-09-20","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testExists_Positive"
"","2","Count data by buffer UID - Positive","","2025-09-20","passed","2025-09-20","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testCountByBufferUid_Positive"
"","1","DeviceAddException toString format","","2025-09-20","passed","2025-09-20","","Device Exception Tests","com.connection.device.exception.DeviceExceptionTest","testDeviceAddExceptionToString"
"","1","BufferDeviceValidateException toString format","","2025-09-20","passed","2025-09-20","","BufferDevice Exception Tests","com.connection.processing.buffer.bufferdevice.exception.BufferDeviceExceptionTest","testBufferDeviceValidateExceptionToString"
"","0","Validate null RefreshTokenDTO - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateNullRefreshTokenDTO_Negative"
"","1","Check token exists - Positive","","2025-09-20","passed","2025-09-20","","Refresh Token Repository Tests - SQL implementation tests","com.connection.token.repository.RefreshTokenRepositorySQLImplTest","testTokenExists_Positive"
"","13","Delete client by UID - Positive","","2025-09-20","passed","2025-09-20","","Client Repository Tests - SQL implementation tests","com.connection.client.repository.ClientRepositorySQLImplTest","testDeleteByUid_Positive"
"","0","Validate AccessTokenBLM with future created date - Negative","","2025-09-20","passed","2025-09-20","","Access Token Validator Tests","com.connection.token.validator.AccessTokenValidatorTest","testValidateAccessTokenBLMWithFutureCreatedAt_Negative"
"","1","Validate null RefreshTokenDALM - Negative","","2025-09-20","passed","2025-09-20","","Refresh Token Validator Tests","com.connection.token.validator.RefreshTokenValidatorTest","testValidateNullRefreshTokenDALM_Negative"
"","0","BaseBufferException toString format","","2025-09-20","passed","2025-09-20","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBaseBufferExceptionToString"
"","2","Update non-existent scheme - Negative","","2025-09-20","passed","2025-09-20","","Connection Scheme Repository Tests - SQL implementation tests","com.connection.scheme.repository.ConnectionSchemeRepositorySQLImplTest","testUpdateNonExistentScheme_Negative"
"","1","Round-trip conversion DALM -> BLM -> DALM","","2025-09-20","passed","2025-09-20","","BufferDevice Converter Tests","com.connection.processing.buffer.bufferdevice.converter.BufferDeviceConverterTest","testRoundTripDALMToBLMToDALM"
"","1","ConnectionSchemeNotFoundException toString format","","2025-09-20","passed","2025-09-20","","Connection Scheme Exception Tests","com.connection.scheme.exception.ConnectionSchemeExceptionTest","testConnectionSchemeNotFoundExceptionToString"
"","2","Parse access token with wrong subject - Negative","","2025-09-20","passed","2025-09-20","","Access Token Generator Tests","com.connection.token.generator.AccessTokenGeneratorTest","testGetAccessTokenBLMWithWrongSubject_Negative"
